,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
105,CHEMBL590109,510.0,nM,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,6.292429823902063,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D510>
110,CHEMBL4798596,560.0,nM,O=C(Nc1ccccc1Cl)NC1CCN(c2ncnc3[nH]ncc23)CC1,6.251811972993799,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D6D0>
111,CHEMBL5090394,580.0,nM,CNc1ncc2cc(-c3ccc(-c4ncccc4F)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,6.236572006437063,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D740>
112,CHEMBL4782048,590.0,nM,O=C(NCC1CC1)c1n[nH]c2cc(-c3ccc(-n4ccccc4=O)cc3Cl)ccc12,6.229147988357855,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D7B0>
113,CHEMBL3596909,630.0,nM,O=C(c1ccc(CO)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.200659450546418,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D820>
114,CHEMBL3596917,630.0,nM,NC(=O)c1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,6.200659450546418,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D890>
116,CHEMBL3596913,650.0,nM,N#Cc1ccc(Cl)c(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c1,6.187086643357144,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359D970>
118,CHEMBL3822986,685.0,nM,C[C@@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2n1,6.164309428507575,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DA50>
119,CHEMBL3596905,740.0,nM,N#Cc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,6.130768280269024,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DAC0>
120,CHEMBL4794451,744.0,nM,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NC5CCOCC5)n[nH]c4c3)c(Cl)c2)c1=O,6.128427064454121,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DB30>
121,CHEMBL4783727,777.0,nM,Cc1cncc(-c2ccc(-c3ccc4c(C(=O)NCC5CC5)n[nH]c4c3)c(Cl)c2)n1,6.1095789811990855,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DBA0>
124,CHEMBL3769981,813.0,nM,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(CC3CCNC(=O)C3)c2n1,6.089909454405932,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DCF0>
126,CHEMBL5089164,859.5,nM,Cn1ccc2cc(Nc3ncc(C(F)(F)F)c(N[C@H]4CC[C@@H](N)CC4)n3)ccc2c1=O,6.065754118976929,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DDD0>
127,CHEMBL3961614,860.0,nM,Cc1ccc(CO)cc1N(C)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,6.065501548756432,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DE40>
129,CHEMBL3770806,980.0,nM,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(CCCO)c2n1,6.008773924307505,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359DF20>
132,CHEMBL4787813,1140.0,nM,O=C(Nc1ccc(F)cc1F)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.943095148663527,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F040>
133,CHEMBL4780324,1240.0,nM,O=C(Nc1cccc(Cl)c1)NC1CCN(c2ncnc3[nH]ncc23)CC1,5.906578314837764,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F0B0>
134,CHEMBL5092606,1277.3,nM,CN(C)C(=O)c1ccc(Nc2ncc(C(F)(F)F)c(N[C@H]3CC[C@@H](N)CC3)n2)cc1,5.893707087824343,True,<rdkit.Chem.rdchem.Mol object at 0x000001DFB359F120>
